"","1 segs","2 segs","3 segs","4 segs","5 segs","6 segs","7 segs","8 segs","9 segs","10 segs"
"k=69",0.669767441860465,0.697674418604651,0.693023255813954,0.697674418604651,0.697674418604651,0.706976744186047,0.702325581395349,0.702325581395349,0.716279069767442,0.702325581395349
"k=70",0.67906976744186,0.697674418604651,0.688372093023256,0.702325581395349,0.693023255813954,0.706976744186047,0.702325581395349,0.702325581395349,0.716279069767442,0.702325581395349
"k=71",0.665116279069767,0.693023255813954,0.693023255813954,0.697674418604651,0.693023255813954,0.702325581395349,0.706976744186047,0.702325581395349,0.716279069767442,0.706976744186047
"k=72",0.669767441860465,0.67906976744186,0.688372093023256,0.702325581395349,0.688372093023256,0.702325581395349,0.706976744186047,0.706976744186047,0.711627906976744,0.706976744186047
"k=73",0.655813953488372,0.67906976744186,0.693023255813954,0.697674418604651,0.693023255813954,0.697674418604651,0.706976744186047,0.697674418604651,0.716279069767442,0.706976744186047
"k=74",0.683720930232558,0.674418604651163,0.669767441860465,0.702325581395349,0.683720930232558,0.702325581395349,0.706976744186047,0.702325581395349,0.711627906976744,0.706976744186047
"k=75",0.674418604651163,0.669767441860465,0.665116279069767,0.688372093023256,0.697674418604651,0.697674418604651,0.706976744186047,0.702325581395349,0.716279069767442,0.706976744186047
"k=76",0.688372093023256,0.674418604651163,0.66046511627907,0.683720930232558,0.688372093023256,0.702325581395349,0.702325581395349,0.702325581395349,0.716279069767442,0.702325581395349
"k=77",0.693023255813954,0.674418604651163,0.674418604651163,0.697674418604651,0.697674418604651,0.702325581395349,0.706976744186047,0.693023255813954,0.716279069767442,0.702325581395349
"k=78",0.683720930232558,0.674418604651163,0.655813953488372,0.697674418604651,0.67906976744186,0.693023255813954,0.706976744186047,0.693023255813954,0.711627906976744,0.706976744186047
"k=79",0.674418604651163,0.674418604651163,0.674418604651163,0.702325581395349,0.693023255813954,0.697674418604651,0.702325581395349,0.697674418604651,0.706976744186047,0.702325581395349
"k=80",0.67906976744186,0.669767441860465,0.66046511627907,0.693023255813954,0.688372093023256,0.697674418604651,0.706976744186047,0.688372093023256,0.706976744186047,0.702325581395349
"k=81",0.67906976744186,0.655813953488372,0.669767441860465,0.693023255813954,0.688372093023256,0.697674418604651,0.702325581395349,0.693023255813954,0.711627906976744,0.697674418604651
"k=82",0.67906976744186,0.665116279069767,0.669767441860465,0.688372093023256,0.683720930232558,0.697674418604651,0.702325581395349,0.693023255813954,0.711627906976744,0.693023255813954
"k=83",0.655813953488372,0.669767441860465,0.674418604651163,0.693023255813954,0.693023255813954,0.693023255813954,0.702325581395349,0.697674418604651,0.711627906976744,0.697674418604651
"k=84",0.66046511627907,0.66046511627907,0.669767441860465,0.697674418604651,0.683720930232558,0.693023255813954,0.697674418604651,0.693023255813954,0.711627906976744,0.697674418604651
"k=85",0.66046511627907,0.66046511627907,0.66046511627907,0.67906976744186,0.683720930232558,0.688372093023256,0.693023255813954,0.697674418604651,0.697674418604651,0.697674418604651
"k=86",0.665116279069767,0.66046511627907,0.655813953488372,0.67906976744186,0.683720930232558,0.693023255813954,0.697674418604651,0.697674418604651,0.706976744186047,0.697674418604651
"k=87",0.669767441860465,0.669767441860465,0.674418604651163,0.693023255813954,0.683720930232558,0.702325581395349,0.697674418604651,0.702325581395349,0.706976744186047,0.706976744186047
"k=88",0.669767441860465,0.66046511627907,0.655813953488372,0.674418604651163,0.67906976744186,0.693023255813954,0.693023255813954,0.693023255813954,0.697674418604651,0.697674418604651
"k=89",0.66046511627907,0.665116279069767,0.669767441860465,0.674418604651163,0.67906976744186,0.697674418604651,0.697674418604651,0.697674418604651,0.702325581395349,0.697674418604651
"k=90",0.66046511627907,0.66046511627907,0.655813953488372,0.67906976744186,0.67906976744186,0.693023255813954,0.697674418604651,0.693023255813954,0.702325581395349,0.697674418604651
"k=91",0.655813953488372,0.66046511627907,0.66046511627907,0.683720930232558,0.683720930232558,0.693023255813954,0.697674418604651,0.697674418604651,0.702325581395349,0.697674418604651
"k=92",0.646511627906977,0.669767441860465,0.67906976744186,0.683720930232558,0.683720930232558,0.702325581395349,0.697674418604651,0.706976744186047,0.697674418604651,0.697674418604651
"k=93",0.651162790697674,0.669767441860465,0.67906976744186,0.688372093023256,0.67906976744186,0.693023255813954,0.693023255813954,0.697674418604651,0.702325581395349,0.697674418604651
"k=94",0.665116279069767,0.683720930232558,0.688372093023256,0.688372093023256,0.67906976744186,0.697674418604651,0.693023255813954,0.697674418604651,0.697674418604651,0.697674418604651
"k=95",0.669767441860465,0.669767441860465,0.674418604651163,0.683720930232558,0.669767441860465,0.693023255813954,0.697674418604651,0.693023255813954,0.702325581395349,0.697674418604651
"k=96",0.665116279069767,0.669767441860465,0.67906976744186,0.683720930232558,0.665116279069767,0.693023255813954,0.693023255813954,0.693023255813954,0.702325581395349,0.697674418604651
"k=97",0.669767441860465,0.669767441860465,0.67906976744186,0.693023255813954,0.693023255813954,0.697674418604651,0.697674418604651,0.693023255813954,0.702325581395349,0.697674418604651
"k=98",0.669767441860465,0.665116279069767,0.67906976744186,0.693023255813954,0.693023255813954,0.697674418604651,0.702325581395349,0.693023255813954,0.702325581395349,0.697674418604651
"k=99",0.674418604651163,0.665116279069767,0.674418604651163,0.693023255813954,0.697674418604651,0.702325581395349,0.702325581395349,0.702325581395349,0.702325581395349,0.702325581395349
"k=100",0.683720930232558,0.655813953488372,0.683720930232558,0.693023255813954,0.702325581395349,0.702325581395349,0.702325581395349,0.702325581395349,0.702325581395349,0.697674418604651
